alpha,beta
0.0,1.2
0.010101010101010102,1.2181818181818183
0.020202020202020204,1.2363636363636363
0.030303030303030304,1.2545454545454546
0.04040404040404041,1.2727272727272727
0.050505050505050504,1.290909090909091
0.06060606060606061,1.309090909090909
0.0707070707070707,1.3272727272727274
0.08080808080808081,1.3454545454545455
0.09090909090909091,1.3636363636363635
0.10101010101010101,1.3818181818181818
0.1111111111111111,1.4
0.12121212121212122,1.4181818181818182
0.13131313131313133,1.4363636363636363
0.1414141414141414,1.4545454545454546
0.15151515151515152,1.4727272727272727
0.16161616161616163,1.490909090909091
0.1717171717171717,1.509090909090909
0.18181818181818182,1.5272727272727273
0.1919191919191919,1.5454545454545454
0.20202020202020202,1.5636363636363637
0.21212121212121213,1.5818181818181818
0.2222222222222222,1.6
0.23232323232323232,1.6181818181818182
0.24242424242424243,1.6363636363636365
0.25252525252525254,1.6545454545454545
0.26262626262626265,1.6727272727272726
0.2727272727272727,1.690909090909091
0.2828282828282828,1.709090909090909
0.29292929292929293,1.7272727272727273
0.30303030303030304,1.7454545454545454
0.31313131313131315,1.7636363636363637
0.32323232323232326,1.7818181818181817
0.3333333333333333,1.8
0.3434343434343434,1.8181818181818181
0.35353535353535354,1.8363636363636364
0.36363636363636365,1.8545454545454545
0.37373737373737376,1.8727272727272728
0.3838383838383838,1.8909090909090909
0.3939393939393939,1.9090909090909092
0.40404040404040403,1.9272727272727272
0.41414141414141414,1.9454545454545455
0.42424242424242425,1.9636363636363636
0.43434343434343436,1.981818181818182
0.4444444444444444,2.0
0.45454545454545453,2.018181818181818
0.46464646464646464,2.036363636363636
0.47474747474747475,2.0545454545454547
0.48484848484848486,2.0727272727272728
0.494949494949495,2.090909090909091
0.5050505050505051,2.109090909090909
0.5151515151515151,2.1272727272727274
0.5252525252525253,2.1454545454545455
0.5353535353535354,2.1636363636363636
0.5454545454545454,2.1818181818181817
0.5555555555555556,2.2
0.5656565656565656,2.2181818181818183
0.5757575757575758,2.2363636363636363
0.5858585858585859,2.2545454545454544
0.5959595959595959,2.272727272727273
0.6060606060606061,2.290909090909091
0.6161616161616161,2.309090909090909
0.6262626262626263,2.327272727272727
0.6363636363636364,2.3454545454545452
0.6464646464646465,2.3636363636363638
0.6565656565656566,2.381818181818182
0.6666666666666666,2.4
0.6767676767676768,2.418181818181818
0.6868686868686869,2.4363636363636365
0.696969696969697,2.4545454545454546
0.7070707070707071,2.4727272727272727
0.7171717171717171,2.4909090909090907
0.7272727272727273,2.5090909090909093
0.7373737373737373,2.5272727272727273
0.7474747474747475,2.5454545454545454
0.7575757575757576,2.5636363636363635
0.7676767676767676,2.581818181818182
0.7777777777777778,2.6
0.7878787878787878,2.618181818181818
0.797979797979798,2.6363636363636362
0.8080808080808081,2.6545454545454548
0.8181818181818182,2.672727272727273
0.8282828282828283,2.690909090909091
0.8383838383838383,2.709090909090909
0.8484848484848485,2.727272727272727
0.8585858585858586,2.7454545454545456
0.8686868686868687,2.7636363636363637
0.8787878787878788,2.7818181818181817
0.8888888888888888,2.8
0.898989898989899,2.8181818181818183
0.9090909090909091,2.8363636363636364
0.9191919191919192,2.8545454545454545
0.9292929292929293,2.8727272727272726
0.9393939393939394,2.890909090909091
0.9494949494949495,2.909090909090909
0.9595959595959596,2.9272727272727272
0.9696969696969697,2.9454545454545453
0.9797979797979798,2.963636363636364
0.98989898989899,2.981818181818182
1.0,3.0
